Title,Director,Duration,Actor_1,Actor_2,Actor_3,Gross,Budget,Year
Below Zero ,Justin Thomas Ostensen,99,Michael Berryman,Kristin Booth,Michael Eisner,,1200000,2011
Crowsnest ,Brenton Spencer,84,Christie Burke,Victor Zinck Jr.,Chelsey Reist,,1200000,2012
Airborne ,Rob Bowman,91,Alanna Ubach,Jacob Vargas,Brittney Powell,2850263,2600000,1993
Cotton Comes to Harlem ,Ossie Davis,97,Redd Foxx,Cleavon Little,Calvin Lockhart,,1200000,1970
The Wicked Within ,Jay Alaimo,84,William McNamara,Sabrina Carmichael,Patrick Muldoon,,1200000,2015
Bleeding Hearts ,Dylan Bank,100,Seregon O'Dassey,Deirdre Lorenz,Dustin Diamond,,1200000,2015
Waiting... ,Rob McKittrick,94,Ryan Reynolds,Dane Cook,Vanessa Lengies,16101109,3000000,2005
Dead Man's Shoes ,Shane Meadows,90,Paddy Considine,Gary Stretch,George Newton,6013,695393,2004
Wolf Creek             ,,,Richard Cawthorne,John Jarratt,Lucy Fry,,,
From a Whisper to a Scream ,Jeff Burr,92,Terry Kiser,Clu Gulager,Susan Tyrrell,1400000,1100000,1987
Sex with Strangers ,Harry Gantz,105,,,,247740,,2002
Dracula: Pages from a Virgin's Diary ,Guy Maddin,73,Sarah Murphy-Dyson,CindyMarie Small,Brent Neale,39659,1600000,2002
Faith Like Potatoes ,Regardt van den Bergh,116,Sean Cameron Michael,Frank Rautenbach,Jeanne Neilson,,10000000,2006
Beyond the Black Rainbow ,Panos Cosmatos,110,Chris Gauthier,Marilyn Norry,Eva Bourne,56129,1100000,2010
The Raid: Redemption ,Gareth Evans,102,Iko Uwais,Yayan Ruhian,Donny Alamsyah,4105123,1100000,2011
The Dead Undead ,Matthew R. Anderson,89,Johnny Pacar,Vernon Wells,Matthew R. Anderson,,1100000,2010
The Vatican Exorcisms ,Joe Marino,76,Piero Maggiò,Anella Vastola,Joe Marino,,1100000,2013
Casablanca ,Michael Curtiz,82,Humphrey Bogart,Claude Rains,Conrad Veidt,,950000,1942
Lake Mungo ,Joel Anderson,89,Talia Zucker,Rosie Traynor,Martin Sharpe,,1400000,2008
Rocket Singh: Salesman of the Year ,Shimit Amin,150,Ranbir Kapoor,Shazahn Padamsee,Gauhar Khan,,,2009
Silent Running ,Douglas Trumbull,89,Bruce Dern,Ron Rifkin,Jesse Vint,,1000000,1972
Rocky ,John G. Avildsen,145,Sylvester Stallone,Burgess Meredith,Carl Weathers,117235247,960000,1976
The Sleepwalker ,Mona Fastvold,91,Christopher Abbott,Brady Corbet,Gitte Witt,,1100000,2014
The Fog ,John Carpenter,89,Jamie Lee Curtis,Hal Holbrook,Janet Leigh,21378000,1000000,1980
Tom Jones ,Tony Richardson,121,Albert Finney,Susannah York,Hugh Griffith,,1000000,1963
Unfriended ,Levan Gabriadze,83,Shelley Hennig,Renee Olstead,Heather Sossaman,31537320,1000000,2014
Taxi Driver ,Martin Scorsese,110,Robert De Niro,Albert Brooks,Peter Boyle,,1300000,1976
The Howling ,Joe Dante,91,Patrick Macnee,Robert Picardo,Dee Wallace,17986000,1000000,1981
Dr. No ,Terence Young,110,Ursula Andress,Jack Lord,Lois Maxwell,16067035,1100000,1962
Chernobyl Diaries ,Bradley Parker,86,Jesse McCartney,Ingrid Bolsø Berdal,Jonathan Sadowski,18112929,1000000,2012
Hellraiser ,Clive Barker,86,Andrew Robinson,Ashley Laurence,Clare Higgins,14564027,1000000,1987
God's Not Dead 2 ,Harold Cronk,120,Benjamin A. Onyango,Robin Givens,Maria Canals-Barrera,20773070,5000000,2016
Cry_Wolf ,Jeff Wadlow,90,Julian Morris,Gary Cole,Lindy Booth,10042266,1000000,2005
Godzilla 2000 ,Takao Okawara,99,Hiroshi Abe,Naomi Nishida,Sakae Kimura,10037390,1000000000,1999
Blue Valentine ,Derek Cianfrance,112,Ryan Gosling,Mike Vogel,John Doman,9701559,3500000,2010
Transamerica ,Duncan Tucker,103,Kevin Zegers,Felicity Huffman,Paul Borghese,9013113,1000000,2005
The Devil Inside ,William Brent Bell,83,Fernanda Andrade,Claudiu Trandafir,Brian Johnson,53245055,1000000,2012
Beyond the Valley of the Dolls ,Russ Meyer,109,Charles Napier,Cynthia Myers,Harrison Page,9000000,900000,1970
Love Me Tender ,Robert D. Webb,89,James Drury,Neville Brand,Debra Paget,,1000000,1956
An Inconvenient Truth ,Davis Guggenheim,96,Billy West,Al Gore,,23808111,,2006
Sands of Iwo Jima ,Allan Dwan,109,James Brown,Richard Jaeckel,Forrest Tucker,,1000000,1949
Shine a Light ,Martin Scorsese,122,Mick Jagger,Keith Richards,Albert Maysles,5355376,,2008
The Green Inferno ,Eli Roth,100,Daryl Sabara,Richard Burgi,Magda Apanowicz,7186670,6000000,2013
Departure ,Andrew Steggall,109,Juliet Stevenson,Alex Lawther,Niamh Cusack,,1100000,2015
The Sessions ,Ben Lewin,95,W. Earl Brown,Adam Arkin,Rhea Perlman,5997134,1000000,2012
"Food, Inc. ",Robert Kenner,94,Michael Pollan,Eric Schlosser,Barbara Kowalcyk,4417124,,2008
October Baby ,Andrew Erwin,107,Rachel Hendrix,Robert Amaya,Jason Burkey,5355847,,2011
Next Stop Wonderland ,Brad Anderson,104,Philip Seymour Hoffman,Callie Thorne,Holland Taylor,3386698,1000000,1998
Juno ,Jason Reitman,96,J.K. Simmons,Jennifer Garner,Rainn Wilson,143492840,7500000,2007
The Skeleton Twins ,Craig Johnson,93,Ty Burrell,Boyd Holbrook,Kathleen Rose Perkins,5283379,,2014
Martha Marcy May Marlene ,Sean Durkin,102,Christopher Abbott,Julia Garner,Brady Corbet,2981638,,2011
Obvious Child ,Gillian Robespierre,84,Gaby Hoffmann,Jenny Slate,Jake Lacy,3122616,,2014
Frozen River ,Courtney Hunt,97,Charlie McDermott,Michael O'Keefe,Misty Upham,2508841,1000000,2008
20 Feet from Stardom ,Morgan Neville,91,Sheryl Crow,Lou Adler,Merry Clayton,4946250,1000000,2013
Two Girls and a Guy ,James Toback,84,Robert Downey Jr.,Natasha Gregson Wagner,Angel David,1950218,1000000,1997
Walking and Talking ,Nicole Holofcener,86,Kevin Corrigan,Anne Heche,Vincent Pastore,1277257,1000000,1996
The Full Monty ,Peter Cattaneo,91,Tom Wilkinson,Mark Addy,Lesley Sharp,45857453,3500000,1997
Who Killed the Electric Car? ,Chris Paine,92,Ed Begley Jr.,Phyllis Diller,Colette Divine,1677838,1000000,2006
The Broken Hearts Club: A Romantic Comedy ,Greg Berlanti,94,Justin Theroux,Nia Long,Mary McCormack,1744858,1000000,2000
Bubba Ho-Tep ,Don Coscarelli,92,Daniel Roebuck,Ossie Davis,Ella Joyce,,1000000,2002
Goosebumps ,Rob Letterman,103,Odeya Rush,Dylan Minnette,Ken Marino,80021740,58000000,2015
Slam ,Marc Levin,100,Sonja Sohn,Saul Williams,Bonz Malone,982214,1000000,1998
Brigham City ,Richard Dutcher,119,Wilford Brimley,Frank Gerrish,Rick Macy,798341,1000000,2001
Fiza ,Khalid Mohamed,167,Karisma Kapoor,Manoj Bajpayee,Jaya Bhaduri,610991,1000000,2000
History of the World: Part I ,Mel Brooks,92,Madeline Kahn,Sid Caesar,Dom DeLuise,,11000000,1981
Orgazmo ,Trey Parker,92,Trey Parker,Dian Bachar,Matt Stone,582024,1000000,1997
All the Real Girls ,David Gordon Green,108,Zooey Deschanel,Paul Schneider,Shea Whigham,548712,2500000,2003
Dream with the Fishes ,Finn Taylor,97,David Arquette,Cathy Moriarty,Kathryn Erbe,464655,1000000,1997
Blue Car ,Karen Moncrieff,88,Frances Fisher,Agnes Bruckner,A.J. Buckley,464126,1000000,2002
Luminarias ,José Luis Valenzuela,100,Cheech Marin,Lupe Ontiveros,Robert Beltran,428535,1000000,2000
Palo Alto ,Gia Coppola,100,James Franco,Nat Wolff,Olivia Crocicchia,750100,,2013
Ajami ,Scandar Copti,124,Shahir Kabaha,Scandar Copti,Ranin Karim,621240,,2009
Wristcutters: A Love Story ,Goran Dukic,88,Leslie Bibb,Patrick Fugit,Chase Ellison,104077,1000000,2006
I Origins ,Mike Cahill,106,Steven Yeun,Cara Seymour,Venida Evans,334658,,2014
The Battle of Shaker Heights ,Efram Potelle,79,Shiri Appleby,Elden Henson,Kathleen Quinlan,279282,1000000,2003
The Lovely Bones ,Peter Jackson,135,Michael Imperioli,AJ Michalka,Tom McCarthy,43982842,65000000,2009
The Act of Killing ,Joshua Oppenheimer,96,Anwar Congo,Herman Koto,Syamsul Arifin,484221,1000000,2012
Taxi to the Dark Side ,Alex Gibney,53,Alex Gibney,George W. Bush,Greg D'Agostino,274661,1000000,2007
Once in a Lifetime: The Extraordinary Story of the New York Cosmos ,Paul Crowder,97,Pelé,Marv Albert,Ahmet Ertegun,144431,1000000,2006
Guiana 1838 ,Rohit Jagessar,120,Kumar Gaurav,Rufus Graham,Aasheekaa Bathija,227241,,2004
Lisa Picard Is Famous ,Griffin Dunne,90,Mira Sorvino,Fisher Stevens,Melissa Gilbert,112521,,2000
Antarctica: A Year on Ice ,Anthony Powell,91,Josh Swanson,Tom Hamann,Anthony Powell,287761,1000000,2013
A Lego Brickumentary ,Kief Davidson,93,G.W. Krauss,Brian Whitaker,Jason Bateman,100240,1000000,2014
Hardflip ,Johnny Remo,112,Matthew Ziff,Randy Wayne,Raquel Elizabeth Ames,96734,1000000,2012
Chocolate: Deep Dark Secrets ,Vivek Agnihotri,160,Emraan Hashmi,Anil Kapoor,Sunil Shetty,49000,1500000,2005
The House of the Devil ,Ti West,95,Lena Dunham,Greta Gerwig,Dee Wallace,100659,900000,2009
The Perfect Host ,Nick Tomnay,93,David Hyde Pierce,Clayne Crawford,Nathaniel Parker,48430,500000,2010
Safe Men ,John Hamburg,88,Harvey Fierstein,Michael Lerner,Josh Pais,21210,1000000,1998
Speedway Junky ,Nickolas Perry,105,Patrick Renna,Patsy Kensit,Adrienne Frantz,,1000000,1999
The Last Big Thing ,Dan Zukovic,98,Yul Vazquez,Louis Mustillo,James Lorinz,22434,,1996
The Specials ,Craig Mazin,82,Judy Greer,James Gunn,Jamie Kennedy,12996,1000000,2000
16 to Life ,Becky Smith,89,Will Rothhaar,Emily Baldoni,Hallee Hirsh,,1000000,2009
Alone with Her ,Eric Nicholas,78,Jordana Spiro,Ana Claudia Talancón,Jonathon Trent,10018,1000000,2006
Creative Control ,Benjamin Dickinson,97,Nora Zehetner,Alexia Rasmussen,Meredith Hagner,62480,1000000,2015
Special ,Hal Haberman,81,Michael Rapaport,Paul Blackthorne,Ian Bohen,6387,1000000,2006
Sparkler ,Darren Stein,90,Frances Bay,Jamie Kennedy,Veronica Cartwright,5494,,1997
The Helix... Loaded ,A. Raven Cruz,97,Scott Levy,Vanilla Ice,Jennifer Sky,,1000000,2005
In Her Line of Fire ,Brian Trenchard-Smith,88,David Keith,Mariel Hemingway,Jesse Hutch,721,1000000,2006
The Jimmy Show ,Frank Whaley,96,Lynn Cohen,Frank Whaley,Heather Bucha,703,1500000,2001
Heli ,Amat Escalante,105,Kenny Johnston,Andrea Vergara,Gabriel Reyes,,1000000,2013
Karachi se Lahore ,Wajahat Rauf,,Rasheed Naz,Ayesha Omar,Javed Sheikh,,1000000,2015
Loving Annabelle ,Katherine Brooks,76,Ilene Graff,Kevin McCarthy,Laura Breckenridge,,1000000,2006
Hits ,David Cross,96,Jason Ritter,Matt Walsh,Amy Sedaris,,1000000,2014
Jimmy and Judy ,Randall Rubin,99,Nicole Randall Johnson,A.J. Buckley,James Eckhouse,,1000000,2006
Frat Party ,Robert Bennett,90,Randy Wayne,Lauren C. Mayhew,Alicia Ziegler,,1000000,2009
The Party's Over ,Guy Hamilton,94,Oliver Reed,Eddie Albert,Louise Sorel,,,1965
Proud ,Mary Pat Kelly,87,Aidan Quinn,Ossie Davis,Janet Hubert,,1000000,2004
The Poker House ,Lori Petty,93,Jennifer Lawrence,Chloë Grace Moretz,Bokeem Woodbine,,,2008
Childless ,Charlie Levi,90,Joe Mantegna,Barbara Hershey,Diane Venora,,1000000,2008
ZMD: Zombies of Mass Destruction ,Kevin Hamedani,89,Russell Hodgkinson,Janette Armand,Kevin Hamedani,,500000,2009
Snow White: A Deadly Summer ,David DeCoteau,83,Maureen McCormick,Shanley Caswell,Tim Abell,,1000000,2012
Hidden Away ,Mikel Rueda,96,Álex Angulo,Germán Alcarazu,Joseba Ugalde,,,2014
My Last Day Without You ,Stefan C. Schaefer,90,Nicole Beharie,Marlene Forte,Reg E. Cathey,,1000000,2011
Steppin: The Movie ,Michael Taliferro,138,Wesley Jonathan,Sticky Fingaz,Chrystee Pharris,,1000000,2009
Doc Holliday's Revenge ,David DeCoteau,84,William McNamara,Tom Berenger,Randy Jay Burrell,,1000000,2014
Black Rock ,Katie Aselton,83,Katie Aselton,Anslem Richardson,Jay Paulson,,,2012
Truth or Die ,Robert Heath,96,David Oakes,Alexander Vlahos,Jennie Jacques,,1000000,2012
The Pet ,D. Stevens,94,Magi Avila,Pierre Dulat,Summer Napoles,,1000000,2006
Bang Bang Baby ,Jeffrey St. Jules,90,Boyd Banks,Chloe Rose,Kristian Bruun,,1000000,2014
Fear Clinic ,Robert Hall,95,Angelina Armani,Kevin Gage,Fiona Dourif,,1000000,2015
Zombie Hunter ,K. King,93,Jason K. Wixom,Shona Kay,Jarrod Phillips,,1000000,2013
A Fine Step ,Jonathan Meyers,111,Justin Baldoni,Luke Perry,Leonor Varela,,1000000,2014
Trance ,Danny Boyle,101,Rosario Dawson,Spencer Wilding,Tuppence Middleton,2319187,20000000,2013
Charly ,Ralph Nelson,103,Cliff Robertson,Dick Van Patten,Claire Bloom,,,1968
Banshee Chapter ,Blair Erickson,87,Monique Candelaria,Katia Winter,Michael McMillian,,950000,2013
Jesse             ,,30,Eric Lloyd,David DeLuise,Bruno Campos,,,
Ask Me Anything ,Allison Burnett,100,Kimberly Williams-Paisley,Gia Mantegna,Cathryn de Prume,,950000,2014
And Then Came Love ,Richard Schenkman,90,Vanessa Williams,Mike Colter,Eartha Kitt,,989000,2007
Food Chains ,Sanjay Rawal,83,Alma Martinez,Robert Kennedy Jr.,Eve Ensler,,913000,2014
On the Waterfront ,Elia Kazan,108,Marlon Brando,Karl Malden,Rod Steiger,9600000,910000,1954
L!fe Happens ,Kat Coiro,100,Justin Kirk,Geoff Stults,Kristen Johnston,20186,930000,2011
"4 Months, 3 Weeks and 2 Days ",Cristian Mungiu,113,Anamaria Marinca,Vlad Ivanov,Alexandru Potocean,1185783,590000,2007
The Horror Network Vol. 1 ,Brian Dorton,97,Javier Botet,Brian Dorton,Jan Cornet,,3000000,2015
Hard Candy ,David Slade,104,Odessa Rae,G.J. Echternkamp,Patrick Wilson,1007962,950000,2005
The Quiet ,Jamie Babbit,91,Katy Mixon,David Gallagher,Edie Falco,381186,900000,2005
Circumstance ,Maryam Keshavarz,107,Sarah Kazemy,Reza Sixo Safai,Sina Amedson,439958,,2011
Fruitvale Station ,Ryan Coogler,85,Ahna O'Reilly,Melonie Diaz,Ariana Neal,16097842,900000,2013
The Brass Teapot ,Ramaa Mosley,101,Jack McBrayer,Michael Angarano,Alia Shawkat,6643,900000,2012
Bambi ,James Algar,70,Sam Edwards,Donnie Dunagan,Ann Gillis,102797150,,1942
The Hammer ,Charles Herman-Wurmfeld,88,John Enos III,Rian Bishop,Adam Carolla,442638,850000,2007
Snitch ,Ric Roman Waugh,112,Dwayne Johnson,Harold Perrineau,Nadine Velazquez,42919096,15000000,2013
Latter Days ,C. Jay Cox,107,Joseph Gordon-Levitt,Rob McElhenney,Jacqueline Bisset,819939,850000,2003
Elza ,Mariette Monpierre,78,Stana Roumillac,Christophe Cherki,Teddy Doloir,,900000,2011
1982 ,Tommy Oliver,90,Bokeem Woodbine,Ruby Dee,Quinton Aaron,,1000000,2013
"For a Good Time, Call... ",Jamie Travis,88,James Wolk,Ari Graynor,Nia Vardalos,1243961,850000,2012
Celeste & Jesse Forever ,Lee Toland Krieger,92,Ari Graynor,Janel Parrish,Rob Huebel,3094687,,2012
Time Changer ,Rich Christiano,95,Gavin MacLeod,D. David Morin,Hal Linden,15278,825000,2002
London to Brighton ,Paul Andrew Williams,85,Lorraine Stanley,Johnny Harris,Georgia Groome,,500000,2006
American Hero ,Nick Love,86,Eddie Griffin,Christopher Berry,Michelle Tabora,,990000,2015
Windsor Drive ,Natalie Bible',90,Tommy O'Reilly,Samaire Armstrong,Matt Cohen,,100000,2015
A Separation ,Asghar Farhadi,123,Shahab Hosseini,Leila Hatami,Peyman Moaadi,7098492,500000,2011
Crying with Laughter ,Justin Molotnikov,93,Jo Hartley,Stephen McCole,Joe Cassidy,,,2009
Welcome to the Dollhouse ,Todd Solondz,88,Heather Matarazzo,Ken Leung,Christina Vidal,4771000,800000,1995
Ruby in Paradise ,Victor Nunez,114,Allison Dean,Todd Field,Dorothy Lyman,1001437,800000,1993
Raising Victor Vargas ,Peter Sollett,88,Victor Rasuk,Melonie Diaz,Judy Marte,2073984,800000,2002
Pandora's Box ,Georg Wilhelm Pabst,110,Louise Brooks,Francis Lederer,Fritz Kortner,9950,,1929
Harrison Montgomery ,Daniel Davila,95,Martin Landau,Melora Walters,Diane Baker,,850000,2008
Live-In Maid ,Jorge Gaggero,83,Norma Aleandro,Hilda Bernard,Claudia Lapacó,,800000,2004
Deterrence ,Rod Lurie,104,Kevin Pollak,Kathryn Morris,Timothy Hutton,144583,800000,1999
The Mudge Boy ,Michael Burke,94,Zachary Knighton,Tom Guiry,Ryan Donowho,,800000,2003
The Young Unknowns ,Catherine Jelski,87,Leslie Bibb,Eion Bailey,Arly Jover,58163,,2000
Not Cool ,Shane Dawson,93,Shane Dawson,Kurt Angle,Cherami Leigh,35688,600000,2014
Dead Snow ,Tommy Wirkola,91,Bjørn Sundquist,Stig Frode Henriksen,Ane Dahl Torp,41709,800000,2009
Saints and Soldiers ,Ryan Little,90,Corbin Allred,Larry Bagby,Kirby Heyborne,1310270,780000,2003
Vessel ,Clark Baker,14,Taylor Pigeon,Alan Pietruszewski,Whit Spurgeon,,,2012
American Graffiti ,George Lucas,112,Harrison Ford,Ron Howard,Mackenzie Phillips,115000000,777000,1973
Iraq for Sale: The War Profiteers ,Robert Greenwald,75,Scott Helvenston,Katy Helvenston-Wettengal,Donna Zovko,,750000,2006
Aqua Teen Hunger Force Colon Movie Film for Theaters ,Matt Maiellaro,86,Tina Fey,Fred Armisen,Chris Kattan,5518918,750000,2007
Safety Not Guaranteed ,Colin Trevorrow,86,Mary Lynn Rajskub,Mark Duplass,Jeff Garlin,4007792,750000,2012
Kevin Hart: Laugh at My Pain ,Leslie Small,89,Isaac C. Singleton Jr.,Larry King,Jeanette Branch,7705974,,2011
Kill List ,Ben Wheatley,95,MyAnna Buring,Ben Crompton,Neil Maskell,26297,500000,2011
The Innkeepers ,Ti West,101,Lena Dunham,Jake Ryan,Pat Healy,77501,750000,2011
The Unborn ,David S. Goyer,89,Gary Oldman,Atticus Shaffer,Rachel Brosnahan,42638165,16000000,2009
The Conformist ,Bernardo Bertolucci,106,Jean-Louis Trintignant,Stefania Sandrelli,Dominique Sanda,,750000,1970
Interview with the Assassin ,Neil Burger,88,Raymond J. Barry,Christel Khalil,Renee Faia,47329,750000,2002
Donkey Punch ,Oliver Blackburn,99,Julian Morris,Nichola Burley,Tom Burke,18378,900000,2008
All the Boys Love Mandy Lane ,Jonathan Levine,90,Luke Grimes,Michael Welch,Whitney Able,,750000,2006
Bled ,Christopher Hutson,95,Dichen Lachman,Jennifer Lee Wiggins,Michele Morrow,,750000,2009
High Noon ,Fred Zinnemann,85,Gary Cooper,Lloyd Bridges,Lon Chaney Jr.,,750000,1952
Hoop Dreams ,Steve James,170,William Gates,Arthur Agee,Isiah Thomas,7830611,700000,1994
Rize ,David LaChapelle,86,Kevin Scott Richardson,Christopher Toler,Tommy the Clown,3278611,,2005
Destiny ,Joseph Kosinski,,Peter Dinklage,Lauren Cohan,Erick Avari,,,2014
L.I.E. ,Michael Cuesta,97,Adam LeFevre,Bruce Altman,Walter Masterson,1141829,700000,2001
The Sisterhood of Night ,Caryn Waechter,104,Laura Fraser,Kara Hayward,Louis Ozawa Changchien,,1000000,2014
B-Girl ,Emily Dell,88,Aimee Garcia,Wesley Jonathan,Drew Sidora,,,2009
King Kong ,Peter Jackson,201,Naomi Watts,Thomas Kretschmann,Evan Parke,218051260,207000000,2005
House of Wax ,Jaume Collet-Serra,108,Robert Ri'chard,Paris Hilton,Brian Van Holt,32048809,30000000,2005
Half Nelson ,Ryan Fleck,106,Ryan Gosling,Tristan Mack Wilds,Jeff Lima,2694973,700000,2006
Naturally Native ,Jennifer Wynne Farmer,107,Irene Bedard,Akima,Max Gail,10508,700000,1998
Hav Plenty ,Christopher Scott Cherot,84,Hill Harper,Robinne Lee,Chenoa Maxwell,2301777,650000,1997
Adulterers ,H.M. Coakley,91,Mehcad Brooks,Steffinnie Phrommany,Danielle Savre,,750000,2015
Escape from Tomorrow ,Randy Moore,90,Trey Loney,Lee Armstrong,Amy Lucas,169719,,2013
Starsuckers ,Chris Atkins,103,Richard Curtis,Harvey Weinstein,Elton John,,400000,2009
The Hadza: Last of the First ,Bill Benenson,71,Alfre Woodard,Dave Fennoy,Jane Goodall,,650000,2014
After ,Ryan Smith,90,Sandra Ellis Lafferty,Madison Lintz,Karolina Wydra,,650000,2012
Treachery ,Travis Romero,67,Matthew Ziff,Lorraine Ziff,Michael Biehn,,625000,2013
Walter ,Anna Mastro,94,Leven Rambin,Justin Kirk,Virginia Madsen,,700000,2015
Top Hat ,Mark Sandrich,81,Ginger Rogers,Edward Everett Horton,Eric Blore,3000000,609000,1935
The Blair Witch Project ,Daniel Myrick,81,Heather Donahue,Joshua Leonard,Michael C. Williams,140530114,60000,1999
Woodstock ,Michael Wadleigh,215,Joe Cocker,Jimi Hendrix,Joan Baez,13300000,600000,1970
The Kentucky Fried Movie ,John Landis,83,David Zucker,Barry Dennen,Tara Strohmeier,,650000,1977
Mercy Streets ,Jon Gunn,106,Stacy Keach,David A.R. White,Cynthia Watros,171988,600000,2000
Arnolds Park ,Gene Teigland,103,Kendyl Joi,Matthew Feeney,Tac Fitzgerald,23616,600000,2007
Broken Vessels ,Scott Ziehl,90,William Smith,Jason London,Brent David Fraser,13493,600000,1998
Water & Power ,Richard Montoya,88,Nicholas Gonzalez,Angela Nordeng,Exie Booker,79043,,2013
They Will Have to Kill Us First ,Johanna Schwartz,105,Aliou Touré,Garba Touré,Khaira Arby,,400000,2015
Crop Circles: Quest for Truth ,William Gazecki,115,Karen Alexander,Colin Andrews,Francine Blake,,750000,2002
Light from the Darkroom ,Lance McDaniel,90,Russell Wong,Steven Michael Quezada,Lymari Nadal,,600000,2014
Irreplaceable ,Thomas Lilti,102,François Cluzet,Félix Moati,Marianne Denicourt,,,2016
The Maid's Room ,Michael Walker,98,Paula Garcés,Annabella Sciorra,John Brodsky,,600000,2013
A Hard Day's Night ,Richard Lester,87,Paul McCartney,Ringo Starr,George Harrison,515005,560000,1964
The Harvest/La Cosecha ,U. Roberto Romano,80,,,,2245,560000,2011
Love Letters ,Amy Holden Jones,88,Jamie Lee Curtis,Sally Kirkland,Amy Madigan,,550000,1983
Julija in alfa Romeo ,Blaz Zavrsnik,83,Dario Nozic Serini,Spela Colja,Andrej Nahtigal,,500000,2015
Fireproof ,Alex Kendrick,122,Kirk Cameron,Ken Bevel,Erin Bethea,33451479,500000,2008
Faith Connections ,Pan Nalin,115,Bhole Baba,Pant Shirt Baba,Shriman Umeshanad Brahmachari,,550000,2013
Benji ,Joe Camp,86,Frances Bavier,Peter Breck,Edgar Buchanan,39552600,500000,1974
Open Water ,Chris Kentis,79,Blanchard Ryan,Saul Stein,Daniel Travis,30500882,500000,2003
High Road ,Matt Walsh,87,Joe Lo Truglio,Matt Jones,Abby Elliott,,,2011
Kingdom of the Spiders ,John 'Bud' Cardos,97,Woody Strode,Hoke Howell,Tiffany Bolling,17000000,500000,1977
Mad Hot Ballroom ,Marilyn Agrelo,105,Heather Berman,Eva Carrozza,Paul Daggett,8044906,,2005
The Station Agent ,Tom McCarthy,89,Peter Dinklage,Joe Lo Truglio,Paula Garcés,5739376,500000,2003
To Save a Life ,Brian Baugh,120,Randy Wayne,Sean Michael Afable,D. David Morin,3773863,1000000,2009
Wordplay ,Patrick Creadon,94,Ken Burns,Bill Clinton,Bob Dole,3117666,,2006
Beyond the Mat ,Barry W. Blaustein,108,Terry Funk,Vince McMahon,Mick Foley,2047570,500000,1999
The Singles Ward ,Kurt Hale,102,Kirby Heyborne,Lincoln Hoppe,Daryn Tufts,1250798,500000,2002
Osama ,Siddiq Barmak,83,Marina Golbahari,Zubaida Sahar,Mohamad Haref Harati,1127331,46000,2003
Sholem Aleichem: Laughing in the Darkness ,Joseph Dorman,93,Rachel Dratch,Peter Riegert,Jason Kravits,906666,500000,2011
Groove ,Greg Harrison,86,Rachel True,Ari Gold,Denny Kirkwood,1114943,500000,2000
The R.M. ,Kurt Hale,101,Kirby Heyborne,Big Budah,Curt Doussett,1111615,500000,2003
Twin Falls Idaho ,Michael Polish,111,Sasha Alexander,William Katt,Jon Gries,985341,500000,1999
Mean Creek ,Jacob Aaron Estes,90,Rory Culkin,Scott Mechlowicz,Trevor Morgan,603943,500000,2004
Hurricane Streets ,Morgan J. Freeman,86,Edie Falco,Heather Matarazzo,Lynn Cohen,334041,500000,1997
Never Again ,Eric Schaeffer,98,Peter Dinklage,Bill Duke,Michael McKean,295468,500000,2001
Civil Brand ,Neema Barnette,91,Monica Calhoun,LisaRaye McCoy,Clifton Powell,243347,500000,2002
Lonesome Jim ,Steve Buscemi,91,Kevin Corrigan,Seymour Cassel,Mary Kay Place,154077,500000,2005
Drinking Buddies ,Joe Swanberg,90,Olivia Wilde,Anna Kendrick,Ti West,342936,,2013
Deceptive Practice: The Mysteries and Mentors of Ricky Jay ,Molly Bernstein,88,David Mamet,Ricky Jay,Dick Cavett,151389,500000,2012
Seven Samurai ,Akira Kurosawa,202,Takashi Shimura,Minoru Chiaki,Kamatari Fujiwara,269061,2000000,1954
The Other Dream Team ,Marius A. Markevicius,89,Tommy Sheppard,Greg Speirs,Mickey Hart,133778,500000,2012
Johnny Suede ,Tom DiCillo,97,Brad Pitt,Tina Louise,Nick Cave,,500000,1991
Finishing the Game: The Search for a New Bruce Lee ,Justin Lin,84,Monique Gabriela Curnen,Jake Sandvig,Joe McQueen,52850,500000,2007
Rubber ,Quentin Dupieux,82,Haley Ramm,Jack Plotnick,Cecelia Antoinette,98017,500000,2010
Home ,Tim Johnson,94,Jim Parsons,Matt Jones,April Winchell,177343675,135000000,2015
Kiss the Bride ,C. Jay Cox,100,Tori Spelling,Amber Benson,Garrett M. Brown,31937,500000,2007
The Slaughter Rule ,Alex Smith,112,Ryan Gosling,Clea DuVall,Eddie Spears,13134,500000,2002
Monsters ,Gareth Edwards,94,Scoot McNairy,Whitney Able,Ricky Catter,237301,500000,2010
The Californians ,Jonathan Parker,87,Keith Carradine,Joanne Whalley,Illeana Douglas,,,2005
The Living Wake ,Sol Tryon,91,Jim Gaffigan,Ann Dowd,Matthew Cowles,12055,500000,2007
Detention of the Dead ,Alex Craig Mann,87,Justin Chon,Christa B. Allen,Max Adler,1332,500000,2012
Crazy Stone ,Hao Ning,98,Bo Huang,Zheng Xu,Zhonghua Chen,,3000000,2006
Scott Walker: 30 Century Man ,Stephen Kijak,95,Brian Eno,Jacques Brel,Damon Albarn,,500000,2006
Everything Put Together ,Marc Forster,87,Radha Mitchell,Alan Ruck,Megan Mullally,,100000,2000
Good Kill ,Andrew Niccol,102,Bruce Greenwood,Zoë Kravitz,Stafford Douglas,316842,,2014
